_EventID_,_Latitude_,_Longitude_,_DepthMeters_,_Contributor_,_MagType_,_Magnitude_,_EventLocationName_,_Time_,ts,potential_blast,bix_potential_blasts
4488498,40.1702,-80.9682,2400,ANF,ML,2.5,PENNSYLVANIA,2013-10-11T18:01:27,2013/10/11 14:01:27-04,1,1
4487953,38.1262,-81.4212,3200,ANF,ML,2.1,WEST VIRGINIA,2013-11-07T17:19:59,2013/11/07 12:19:59-05,1,1
4599391,42.6477,-74.3006,11600,ANF,ML,2.1,NEW YORK,2013-12-04T17:38:28,2013/12/04 12:38:28-05,1,1
4599404,41.0863,-78.3496,12100,ANF,ML,2.2,PENNSYLVANIA,2013-12-05T18:11:54,2013/12/05 13:11:54-05,1,1
4599550,42.5072,-73.8618,14600,ANF,ML,2.4,NEW YORK,2013-12-20T21:53:59,2013/12/20 16:53:59-05,1,1
4372636,37.8525,-81.7585,8400,ANF,ML,2.3,WEST VIRGINIA,2013-07-20T18:02:20,2013/07/20 14:02:20-04,1,1
4488081,38.0975,-82.0431,5200,ANF,ML,2.4,WEST VIRGINIA,2013-11-16T18:01:46,2013/11/16 13:01:46-05,0,1
4638439,41.4585,-77.3773,8800,ANF,ML,2.6,PENNSYLVANIA,2014-01-20T20:32:01,2014/01/20 15:32:01-05,1,1
4638565,38.0153,-81.4237,2500,ANF,ML,2.3,WEST VIRGINIA,2014-01-30T20:48:46,2014/01/30 15:48:46-05,1,1
5111716,40.7492,-76.4988,11300,ANF,ML,2.6,PENNSYLVANIA,2015-01-19T17:38:13,2015/01/19 12:38:13-05,1,1
4638404,38.2522,-81.8621,20600,ANF,ML,2.2,WEST VIRGINIA,2014-01-16T03:38:22,2014/01/15 22:38:22-05,1,0
4638446,37.9122,-81.2877,3100,ANF,ML,2,WEST VIRGINIA,2014-01-20T22:15:32,2014/01/20 17:15:32-05,1,1
5006102,43.5921,-75.3404,13600,ANF,ML,1.7,NEW YORK,2014-08-06T16:56:31,2014/08/06 12:56:31-04,1,1
5006114,37.8711,-81.5694,11600,ANF,ML,2.5,WEST VIRGINIA,2014-08-07T20:53:15,2014/08/07 16:53:15-04,1,1
5006139,40.9821,-75.9471,11100,ANF,ML,1.7,PENNSYLVANIA,2014-08-11T16:03:36,2014/08/11 12:03:36-04,1,1
5006155,42.9981,-76.0458,17400,ANF,ML,1.9,NEW YORK,2014-08-13T13:54:48,2014/08/13 09:54:48-04,1,1
5006168,38.1032,-80.4586,12000,ANF,ML,2.5,WEST VIRGINIA,2014-08-13T22:40:10,2014/08/13 18:40:10-04,1,1
5006174,37.7468,-82.0338,2100,ANF,ML,2.5,WEST VIRGINIA,2014-08-14T20:55:36,2014/08/14 16:55:36-04,1,1
4820759,37.7895,-82.1298,3700,ANF,ML,2.1,WEST VIRGINIA,2014-07-23T20:24:16,2014/07/23 16:24:16-04,1,1
4820768,43.8588,-75.9485,14700,ANF,ML,2,NEW YORK,2014-07-24T15:31:51,2014/07/24 11:31:51-04,1,1
4369954,37.751,-82.1274,1700,ANF,ML,2.3,WEST VIRGINIA,2013-06-21T14:42:19,2013/06/21 10:42:19-04,1,1
4820786,43.6323,-73.803,14700,ANF,ML,2.2,NEW YORK,2014-07-25T18:30:17,2014/07/25 14:30:17-04,1,1
4213054,37.2243,-82.1368,13600,ANF,ML,2.6,WEST VIRGINIA,2012-07-30T21:29:31,2012/07/30 17:29:31-04,1,1
4225320,37.7428,-82.0329,7800,ANF,ML,2.6,WEST VIRGINIA,2013-03-04T22:24:17,2013/03/04 17:24:17-05,1,1
4213765,37.8023,-82.0164,2100,ANF,ML,2.5,WEST VIRGINIA,2012-08-07T20:08:31,2012/08/07 16:08:31-04,1,1
4213882,37.3493,-82.149,2100,ANF,ML,2.8,WEST VIRGINIA,2012-08-17T20:48:42,2012/08/17 16:48:42-04,1,1
4309448,38.0924,-81.6619,400,ANF,ML,2.9,WEST VIRGINIA,2012-11-01T20:28:23,2012/11/01 16:28:23-04,1,1
4369224,38.2458,-81.5925,1300,ANF,ML,2.5,WEST VIRGINIA,2013-05-10T16:21:27,2013/05/10 12:21:27-04,1,1
4213931,38.054,-81.6542,7800,ANF,ML,2.6,WEST VIRGINIA,2012-08-22T19:53:19,2012/08/22 15:53:19-04,1,1
5110447,37.7895,-82.1307,3800,ANF,ML,2.4,WEST VIRGINIA,2014-11-22T21:43:21,2014/11/22 16:43:21-05,1,1
4638372,38.1119,-82.0142,2700,ANF,ML,2.5,WEST VIRGINIA,2014-01-11T21:10:06,2014/01/11 16:10:06-05,0,1
4213954,37.8796,-81.6429,14900,ANF,ML,2.7,WEST VIRGINIA,2012-08-24T19:11:10,2012/08/24 15:11:10-04,1,1
4309663,37.2354,-81.744,1000,ANF,ML,2.9,WEST VIRGINIA,2012-11-30T22:06:07,2012/11/30 17:06:07-05,1,1
4808511,38.0648,-81.5097,1200,ANF,ML,2.2,WEST VIRGINIA,2014-05-15T20:31:09,2014/05/15 16:31:09-04,1,1
4221086,37.6606,-82.5596,4500,ANF,ML,2.3,WEST VIRGINIA,2012-12-23T17:09:18,2012/12/23 12:09:18-05,1,1
4310563,38.0884,-81.9769,12300,ANF,ML,2.6,WEST VIRGINIA,2013-02-23T17:46:00,2013/02/23 12:46:00-05,0,1
5111721,40.2167,-80.9966,9700,ANF,ML,2.5,PENNSYLVANIA,2015-01-19T20:58:07,2015/01/19 15:58:07-05,1,1
5110434,37.8206,-81.8599,4700,ANF,ML,2.6,WEST VIRGINIA,2014-11-21T18:24:57,2014/11/21 13:24:57-05,1,1
4310577,38.0857,-81.9677,11300,ANF,ML,2.6,WEST VIRGINIA,2013-02-25T16:35:37,2013/02/25 11:35:37-05,0,1
4225380,38.1157,-81.9782,9400,ANF,ML,2.3,WEST VIRGINIA,2013-03-07T22:54:21,2013/03/07 17:54:21-05,0,1
4225419,38.114,-81.9582,3500,ANF,ML,2.8,WEST VIRGINIA,2013-03-11T14:33:46,2013/03/11 10:33:46-04,0,1
4225452,37.8718,-81.8511,11700,ANF,ML,2.3,WEST VIRGINIA,2013-03-13T16:35:35,2013/03/13 12:35:35-04,1,1
4225568,37.9364,-81.378,15900,ANF,ML,2.5,WEST VIRGINIA,2013-03-20T20:23:51,2013/03/20 16:23:51-04,1,1
4225578,38.0504,-81.6596,9400,ANF,ML,2.7,WEST VIRGINIA,2013-03-21T19:57:34,2013/03/21 15:57:34-04,1,1
4214742,38.6722,-82.21,1200,ANF,ML,3.1,WEST VIRGINIA,2013-03-27T09:10:48,2013/03/27 05:10:48-04,0,0
5006224,43.0033,-76.4011,14700,ANF,ML,1.9,NEW YORK,2014-08-21T13:19:05,2014/08/21 09:19:05-04,1,1
5006225,43.6428,-73.8208,14400,ANF,ML,2.2,NEW YORK,2014-08-21T16:45:03,2014/08/21 12:45:03-04,1,1
5006233,44.3552,-74.125,10600,ANF,ML,1.6,NEW YORK,2014-08-22T16:04:17,2014/08/22 12:04:17-04,1,1
5006282,42.5086,-73.8625,10300,ANF,ML,2.1,NEW YORK,2014-08-29T19:21:02,2014/08/29 15:21:02-04,1,1
4371836,38.2549,-81.5717,11500,ANF,ML,2.4,WEST VIRGINIA,2013-08-05T18:31:59,2013/08/05 14:31:59-04,1,1
4372417,37.7308,-82.0296,1700,ANF,ML,2.4,WEST VIRGINIA,2013-07-01T17:40:41,2013/07/01 13:40:41-04,1,1
4225556,37.7352,-82.0866,5500,ANF,ML,2.6,WEST VIRGINIA,2013-03-19T20:55:34,2013/03/19 16:55:34-04,1,1
5006285,38.0674,-81.4986,12100,ANF,ML,2.5,WEST VIRGINIA,2014-08-29T21:53:42,2014/08/29 17:53:42-04,1,1
5005280,40.1698,-80.9656,12900,ANF,ML,2.3,PENNSYLVANIA,2014-09-09T17:42:41,2014/09/09 13:42:41-04,1,1
5006206,40.8006,-76.1293,8200,ANF,ML,2.4,PENNSYLVANIA,2014-08-19T17:03:32,2014/08/19 13:03:32-04,1,1
5006216,38.0437,-81.704,5900,ANF,ML,2.4,WEST VIRGINIA,2014-08-20T16:16:46,2014/08/20 12:16:46-04,1,1
5005327,38.1203,-80.4495,8000,ANF,ML,2.2,WEST VIRGINIA,2014-09-12T19:54:03,2014/09/12 15:54:03-04,1,1
5005357,43.9561,-75.8359,13900,ANF,ML,1.7,NEW YORK,2014-09-15T14:11:45,2014/09/15 10:11:45-04,1,1
4225596,38.3849,-81.0012,14900,ANF,ML,2.9,WEST VIRGINIA,2013-03-22T19:25:02,2013/03/22 15:25:02-04,1,1
4212946,37.8912,-81.4724,21300,ANF,ML,2.7,WEST VIRGINIA,2012-07-16T20:56:47,2012/07/16 16:56:47-04,1,1
4213028,37.7287,-82.0419,5200,ANF,ML,2.7,WEST VIRGINIA,2012-07-27T15:46:42,2012/07/27 11:46:42-04,1,1
5109397,42.4774,-73.8921,1000,ANF,ML,2.4,NEW YORK,2014-12-17T21:26:50,2014/12/17 16:26:50-05,0,1
4223362,38.0538,-81.666,2900,ANF,ML,2.6,WEST VIRGINIA,2013-01-09T21:21:16,2013/01/09 16:21:16-05,1,1
4223424,37.9164,-81.3583,12300,ANF,ML,2.5,WEST VIRGINIA,2013-01-15T15:11:50,2013/01/15 10:11:50-05,1,1
4223466,38.0858,-81.3926,14300,ANF,ML,2.6,WEST VIRGINIA,2013-01-17T21:10:15,2013/01/17 16:10:15-05,1,1
4225593,38.2771,-81.5998,17100,ANF,ML,2.9,WEST VIRGINIA,2013-03-22T16:40:06,2013/03/22 12:40:06-04,1,1
4767824,38.4988,-80.5656,16700,ANF,ML,2.3,WEST VIRGINIA,2014-02-19T21:12:19,2014/02/19 16:12:19-05,1,1
4310390,37.8174,-81.7797,10800,ANF,ML,2.5,WEST VIRGINIA,2013-02-08T20:57:55,2013/02/08 15:57:55-05,1,1
4225401,37.8322,-81.4802,14100,ANF,ML,2.1,WEST VIRGINIA,2013-03-09T18:57:40,2013/03/09 13:57:40-05,0,1
4225404,38.121,-81.965,6500,ANF,ML,2.4,WEST VIRGINIA,2013-03-09T20:09:03,2013/03/09 15:09:03-05,0,1
4371751,41.1103,-78.3348,10800,ANF,ML,1.9,PENNSYLVANIA,2013-08-01T15:36:40,2013/08/01 11:36:40-04,0,1
4371758,38.1188,-82.039,5400,ANF,ML,2.5,WEST VIRGINIA,2013-08-01T19:21:26,2013/08/01 15:21:26-04,0,1
4813102,37.7511,-82.0461,3200,ANF,ML,2.3,WEST VIRGINIA,2014-04-28T20:59:53,2014/04/28 16:59:53-04,1,1
4369790,39.7725,-79.7833,7700,ANF,ML,1.9,WEST VIRGINIA,2013-06-06T16:10:28,2013/06/06 12:10:28-04,1,1
